verbatimScientificName,species,FinalNameInDatabase,FinalSubspeciesInDatabase,ReasonOfUnmatch
Abisara,,NA,,No species name
Abisara magdala,Abisara fylla,Abisara fylloides,,WRONG synonym
Abisara neopharon gratius Fruhstorfer,Abisara neophron,Archigenes neophron,,Spelling mistake
Acraea,,NA,,No species name
Acrophtalmia chione,Acrophtalmia artemis,Acrophtalmia artemis,,Synonym
Acytolepis,,NA,,No species name
Acytolepis cossaea cossaea (de Nic.),,Plautella cossaea,,Synonym
Acytolepis najara,,,,
Acytolepis ripte,,,,
Acytolepis samanga,,,,
"Acytolepsis puspa myla (Fruhstorfer, 1909)",Acytolepis puspa,Acytolepis puspa,,Spelling mistake
Adoliadini,,NA,,No species name
"Aemona gialaica Monastyrskii, Saito & Vu, 2021",Aemona gialaica,Stichophthalma uemurai,gialaii,Typo
Aeromachus,,NA,,No species name
Aeromachus nana,,,,
"Afarsia iris (Lang, 1884)",,,,
Agehana maraho (Shiraki et Sonan),Chilasa maraho,Papilio maraho,,Synonym
Aglais cashmiriensis,Aglais caschmirensis,Aglais caschmirensis,,Spelling mistake
"Aglais kaschmirensis Kollar, 1848",,Aglais caschmirensis,,Spelling mistake
Agriades leela,,,,
Agriades lehanus,Agriades lehana,,,
"Agriades lehanus (Moore, 1878)",Agriades lehana,,,
Agriades luana,,,,
Agriades younghusbandi,,,,
Ahlbergia dongyui,,,,
Ahlbergia liyufeii,,,,
Ahlbergia nicevillei,,Callophrys nicevillei,,Synonym
Algia satyrina,,,,
Allotinus sp. 'transects',,NA,,No species name
Allotinus sp. 4MKC,,NA,,No species name
Allotinus substringosa substrigosa (Moore),Allotinus substrigosa,Allotinus substrigosa,,Spelling mistake
Amathusia,,NA,,No species name
Amathusia peraka,Amathusia perakana,Amathusia perakana,,Spelling mistake
Amblypodia spec.,,NA,,No species name
Ancema sudica,,Ancema blanka,,Synonym
Ancistoroides nigrita diocles (Moore),Ancistroides nigrita,Ancistroides nigrita,,Spelling mistake
Annulata sp.,,NA,,No species name
Anosia chriysippus chrysippus (Linnaeus),,Danaus chrysippus,,Synonym; Spelling mistake
"Anosia Hübner, 1816",,NA,,No species name
Anthene,,NA,,No species name
Anthocharis  scolymus,Anthocharis scolymus,Anthocharis scolymus,,Typo
"Anthocharis mandschurica (Bollow, 1930)",,Anthocharis scolymus,,Synonym
antoporia hordonia hordonia (Stoll),,Pantoporia hordonia,,Spelling mistake
Apatura  metis,Apatura ilia,Apatura metis,,WRONG synonym; Typo
Apaturina,,NA,,No species name
Apias paulina minato (Fruhstorfer),,Appias paulina,,Spelling mistake
Aporia soracta,Aporia leucodice,,,Synonym?
Aporia tsillingica,Aporia tsinglingica,Aporia tsinglingica,,Spelling mistake
Appias,,NA,,No species name
"Appias ? paulina (Cramer, 1777)",Appias paulina,Appias paulina,,Typo
Appias cordena hagar vollenhoven,Appias cardena,Appias cardena,,Spelling mistake
